Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2024-07-01,BR,197.57000732421875,197.77999877929688,195.63999938964844,196.55999755859375,195.74118041992188,329100
2024-07-02,BR,196.72000122070312,198.4600067138672,196.42999267578125,198.2899932861328,197.46397399902344,264400
2024-07-03,BR,198.17999267578125,200.9499969482422,198.17999267578125,199.5,198.6689453125,191900
2024-07-05,BR,199.4600067138672,202.27000427246094,199.10000610351562,202.1199951171875,201.27801513671875,385000
2024-07-08,BR,202.22999572753906,203.3300018310547,200.69000244140625,201.77000427246094,200.9294891357422,389100
2024-07-09,BR,201.41000366210938,201.75,199.3800048828125,199.99000549316406,199.1569061279297,470200
2024-07-10,BR,201.22000122070312,201.6199951171875,198.7100067138672,200.5800018310547,199.74444580078125,525300
2024-07-11,BR,201.41000366210938,204.97999572753906,201.00999450683594,203.47000122070312,202.62240600585938,370900
2024-07-12,BR,204.75,207.0,204.02999877929688,205.4499969482422,204.59414672851562,336700
2024-07-15,BR,205.82000732421875,208.8699951171875,205.7100067138672,208.13999938964844,207.27294921875,298800
2024-07-16,BR,208.8800048828125,211.67999267578125,208.8800048828125,209.74000549316406,208.8662872314453,508700
2024-07-17,BR,209.5500030517578,209.5500030517578,207.5399932861328,207.94000244140625,207.07379150390625,708700
2024-07-18,BR,207.00999450683594,209.3000030517578,204.7100067138672,204.82000732421875,203.96678161621094,671900
2024-07-19,BR,206.1300048828125,206.42999267578125,200.6300048828125,201.88999938964844,201.04898071289062,591000
2024-07-22,BR,202.64999389648438,205.38999938964844,201.6699981689453,204.72999572753906,203.8771514892578,827900
2024-07-23,BR,204.8699951171875,206.30999755859375,204.22000122070312,205.5500030517578,204.69374084472656,301300
2024-07-24,BR,205.5500030517578,206.1300048828125,202.83999633789062,203.14999389648438,202.30372619628906,446200
2024-07-25,BR,203.77000427246094,211.85000610351562,203.77000427246094,208.07000732421875,207.2032470703125,385500
2024-07-26,BR,209.22000122070312,213.24000549316406,208.0,212.6300048828125,211.74424743652344,343800
2024-07-29,BR,212.99000549316406,214.4600067138672,210.89999389648438,211.02000427246094,210.14096069335938,387900
2024-07-30,BR,212.4600067138672,216.77000427246094,211.86000061035156,215.38999938964844,214.4927520751953,523600
